Company_name,Location_name,Experiences,Salary
5exceptions software solution pvt ltd indore,Hyderabad/Secunderabad,6 - 7 Years,Not disclosed
claim genius inc,Nagpur,7 - 8 Years,Not disclosed
SEVEN CONSULTANCY,Hyderabad/Secunderabad,15 - 20 Years,Not disclosed
danfoss india innovation center,,3 - 5 Years,Not disclosed
Milestone Technologies Inc.,Hyderabad/Secunderabad,5 - 8 Years,Not disclosed
Milestone Technologies Inc.,Hyderabad/Secunderabad,5 - 8 Years,Not disclosed
Milestone Technologies Inc.,Hyderabad/Secunderabad,5 - 8 Years,Not disclosed
Milestone Technologies Inc.,Hyderabad/Secunderabad,5 - 8 Years,Not disclosed
ap moller-maersk shipping,Bengaluru / Bangalore,5 - 8 Years,Not disclosed
Thoucentric,Bengaluru / Bangalore,3 - 5 Years,Not disclosed
Caterpillar Inc.,,3 - 6 Years,Not disclosed
unitedhealth group information services,Noida/Greater Noida,1 - 3 Years,Not disclosed
Think Future Technologies Pvt Ltd,Gurgaon,2 - 5 Years,Not disclosed
Novartis Healthcare Pvt. Ltd.,Hyderabad/Secunderabad,3 - 5 Years,Not disclosed
Analytics Vidhya,Bengaluru / Bangalore,4 - 7 Years,Not disclosed
Analytics Vidhya,Gurgaon,3 - 6 Years,Not disclosed
Analytics Vidhya,"Noida/Greater Noida,  Delhi,  Delhi/NCR",1 - 5 Years,Not disclosed
Analytics Vidhya,Mumbai,5 - 8 Years,Not disclosed
Analytics Vidhya,Bengaluru / Bangalore,3 - 8 Years,Not disclosed
Analytics Vidhya,Gurgaon,5 - 8 Years,Not disclosed
Analytics Vidhya,"Gurgaon,  Delhi,  Delhi/NCR",2 - 5 Years,Not disclosed
Analytics Vidhya,Gurgaon,2 - 5 Years,Not disclosed
Analytics Vidhya,"Chennai,  Bengaluru / Bangalore",3 - 8 Years,Not disclosed
Analytics Vidhya,Bengaluru / Bangalore,10 - 13 Years,Not disclosed
DIASPARK INC,,8 - 11 Years,Not disclosed
